ra6+A+P: 24846; Frame: 0;
6+A: 24324;     Frame: 1;
6+A: 19542;     Frame: 2;
6+A: 23577;     Frame: 3;
6+A: 21834;     Frame: 4;
6+A: 23001;     Frame: 5;
6+A: 23001;     Frame: 6;
6+A+P: 22995;   Frame: 7;
6+A: 23094;     Frame: 8;
6+A: 23445;     Frame: 9;
6+A: 22248;     Frame: 10;
6+A: 21822;     Frame: 11;
6+A: 21843;     Frame: 12;
6+A: 21840;     Frame: 13;
6+A+P: 21855;   Frame: 14;
6+A: 21840;     Frame: 15;
6+A: 21843;     Frame: 16;
6+A: 21837;     Frame: 17;
6+A: 21843;     Frame: 18;
6+A: 21837;     Frame: 19;
6+A: 21843;     Frame: 20;
6+A+P: 73092;   Frame: 21;
6+A: 21840;     Frame: 22;
6+A: 21834;     Frame: 23;
6+A: 21843;     Frame: 24;
6+A: 21834;     Frame: 25;
6+A: 21840;     Frame: 26;
6+A: 21834;     Frame: 27;
6+A+P: 73089;   Frame: 28;
6+A: 21834;     Frame: 29;
6+A: 21837;     Frame: 30;
6+A: 21831;     Frame: 31;
6+A: 21840;     Frame: 32;
6+A: 21831;     Frame: 33;
6+A: 21837;     Frame: 34;
6+A+P: 73080;   Frame: 35;
6+A: 21837;     Frame: 36;
6+A: 21831;     Frame: 37;
6+A: 21837;     Frame: 38;
6+A: 21828;     Frame: 39;
6+A: 21834;     Frame: 40;
6+A: 21828;     Frame: 41;
6+A+P: 73137;   Frame: 42;
6+A: 21831;     Frame: 43;
6+A: 21837;     Frame: 44;
6+A: 21828;     Frame: 45;
6+A: 21834;     Frame: 46;
6+A: 21828;     Frame: 47;
6+A: 21834;     Frame: 48;
6+A+P: 73110;   Frame: 49;
6+A: 21834;     Frame: 50;
6+A: 21828;     Frame: 51;
6+A: 21834;     Frame: 52;
6+A: 21825;     Frame: 53;
6+A: 21834;     Frame: 54;
6+A: 21825;     Frame: 55;
6+A+P: 73239;   Frame: 56;
6+A: 21825;     Frame: 57;
6+A: 21831;     Frame: 58;
6+A: 21822;     Frame: 59;
6+A: 21831;     Frame: 60;
6+A: 21825;     Frame: 61;
6+A: 21831;     Frame: 62;
6+A+P: 73302;   Frame: 63;
6+A: 21831;     Frame: 64;
6+A: 21822;     Frame: 65;
6+A: 21831;     Frame: 66;
6+A: 21822;     Frame: 67;
6+A: 21828;     Frame: 68;
6+A: 21822;     Frame: 69;
6+A+P: 73350;   Frame: 70;
6+A: 21819;     Frame: 71;
6+A: 21828;     Frame: 72;
6+A: 21822;     Frame: 73;
6+A: 21828;     Frame: 74;
6+A: 21819;     Frame: 75;
6+A: 21828;     Frame: 76;
6+A+P: 73407;   Frame: 77;
6+A: 21825;     Frame: 78;
6+A: 21819;     Frame: 79;
6+A: 21825;     Frame: 80;
6+A: 21819;     Frame: 81;
6+A: 21825;     Frame: 82;
6+A: 21816;     Frame: 83;
6+A+P: 73506;   Frame: 84;
6+A: 21816;     Frame: 85;
6+A: 21825;     Frame: 86;
6+A: 21816;     Frame: 87;
6+A: 21822;     Frame: 88;
6+A: 21816;     Frame: 89;
6+A: 21822;     Frame: 90;
6+A+P: 73578;   Frame: 91;
6+A: 21822;     Frame: 92;
6+A: 21816;     Frame: 93;
6+A: 21819;     Frame: 94;
6+A: 21813;     Frame: 95;
6+A: 21822;     Frame: 96;
6+A: 21813;     Frame: 97;
6+A+P: 73698;   Frame: 98;
6+A: 21813;     Frame: 99;
6+A: 21819;     Frame: 100;
6+A: 21810;     Frame: 101;
6+A: 21819;     Frame: 102;
6+A: 21813;     Frame: 103;
6+A: 21819;     Frame: 104;
6+A+P: 73704;   Frame: 105;
6+A: 21819;     Frame: 106;
6+A: 21810;     Frame: 107;
6+A: 21816;     Frame: 108;
6+A: 21810;     Frame: 109;
6+A: 21819;     Frame: 110;
6+A: 21810;     Frame: 111;
6+A+P: 73818;   Frame: 112;
6+A: 21807;     Frame: 113;
6+A: 21816;     Frame: 114;
6+A: 21810;     Frame: 115;
6+A: 21816;     Frame: 116;
6+A: 21810;     Frame: 117;
6+A: 21816;     Frame: 118;
6+A+P: 73875;   Frame: 119;
6+A: 21813;     Frame: 120;
6+A: 21807;     Frame: 121;
6+A: 21813;     Frame: 122;
6+A: 21807;     Frame: 123;
6+A: 21813;     Frame: 124;
6+A: 21804;     Frame: 125;
6+A+P: 73944;   Frame: 126;
6+A: 21807;     Frame: 127;
6+A: 21813;     Frame: 128;
6+A: 21804;     Frame: 129;
6+A: 21810;     Frame: 130;
6+A: 21804;     Frame: 131;
6+A: 21810;     Frame: 132;
6+A+P: 73983;   Frame: 133;
6+A: 21810;     Frame: 134;
6+A: 21801;     Frame: 135;
6+A: 21810;     Frame: 136;
6+A: 21801;     Frame: 137;
6+A: 21810;     Frame: 138;
6+A: 21804;     Frame: 139;
6+A+P: 74019;   Frame: 140;
6+A: 21801;     Frame: 141;
6+A: 21810;     Frame: 142;
6+A: 21801;     Frame: 143;
6+A: 21807;     Frame: 144;
6+A: 21798;     Frame: 145;
6+A: 21810;     Frame: 146;
6+A+P: 74070;   Frame: 147;
6+A: 21807;     Frame: 148;
6+A: 21798;     Frame: 149;
6+A: 21804;     Frame: 150;
6+A: 21798;     Frame: 151;
6+A: 21804;     Frame: 152;
6+A: 21798;     Frame: 153;
6+A+P: 74133;   Frame: 154;
6+A: 21798;     Frame: 155;
6+A: 21804;     Frame: 156;
6+A: 21798;     Frame: 157;
6+A: 21804;     Frame: 158;
6+A: 21795;     Frame: 159;
6+A: 21804;     Frame: 160;
6+A+P: 74106;   Frame: 161;
6+A: 21801;     Frame: 162;
6+A: 21798;     Frame: 163;
6+A: 21804;     Frame: 164;
6+A: 21792;     Frame: 165;
6+A: 21801;     Frame: 166;
6+A: 21792;     Frame: 167;
6+A+P: 74208;   Frame: 168;
6+A: 21801;     Frame: 169;
6+A: 21801;     Frame: 170;
6+A: 21795;     Frame: 171;
6+A: 21798;     Frame: 172;
6+A: 21792;     Frame: 173;
6+A: 21798;     Frame: 174;
6+A+P: 74295;   Frame: 175;
6+A: 21807;     Frame: 176;
6+A: 21792;     Frame: 177;
6+A: 21798;     Frame: 178;
6+A: 21789;     Frame: 179;
6+A: 21798;     Frame: 180;
6+A: 21789;     Frame: 181;
6+A+P: 74454;   Frame: 182;
6+A: 21795;     Frame: 183;
6+A: 21798;     Frame: 184;
6+A: 21789;     Frame: 185;
6+A: 21795;     Frame: 186;
6+A: 21789;     Frame: 187;
6+A: 21798;     Frame: 188;
6+A+P: 74544;   Frame: 189;
6+A: 21801;     Frame: 190;
6+A: 21789;     Frame: 191;
6+A: 21795;     Frame: 192;
6+A: 21786;     Frame: 193;
6+A: 21798;     Frame: 194;
6+A: 21786;     Frame: 195;
6+A+P: 74616;   Frame: 196;
6+A: 21792;     Frame: 197;
6+A: 21792;     Frame: 198;
6+A: 21786;     Frame: 199;
6+A: 21795;     Frame: 200;
6+A: 21783;     Frame: 201;
6+A: 21789;     Frame: 202;
6+A+P: 74700;   Frame: 203;
6+A: 21795;     Frame: 204;
6+A: 21786;     Frame: 205;
6+A: 21792;     Frame: 206;
6+A: 21780;     Frame: 207;
6+A: 21789;     Frame: 208;
6+A: 21783;     Frame: 209;
6+A+P: 74742;   Frame: 210;
6+A: 21786;     Frame: 211;
6+A: 21792;     Frame: 212;
6+A: 21780;     Frame: 213;
6+A: 21786;     Frame: 214;
6+A: 21780;     Frame: 215;
6+A: 21786;     Frame: 216;
6+A+P: 74757;   Frame: 217;
6+A: 21795;     Frame: 218;
6+A: 21780;     Frame: 219;
6+A: 21786;     Frame: 220;
6+A: 21780;     Frame: 221;
6+A: 21786;     Frame: 222;
6+A: 21777;     Frame: 223;
6+A+P: 74802;   Frame: 224;
6+A: 21783;     Frame: 225;
6+A: 21783;     Frame: 226;
6+A: 21777;     Frame: 227;
6+A: 21783;     Frame: 228;
6+A: 21774;     Frame: 229;
6+A: 21783;     Frame: 230;
6+A+P: 74829;   Frame: 231;
6+A: 21789;     Frame: 232;
6+A: 21774;     Frame: 233;
6+A: 21783;     Frame: 234;
6+A: 21774;     Frame: 235;
6+A: 21783;     Frame: 236;
6+A: 21774;     Frame: 237;
6+A+P: 74829;   Frame: 238;
6+A: 21780;     Frame: 239;
6+A: 21780;     Frame: 240;
6+A: 21771;     Frame: 241;
6+A: 21780;     Frame: 242;
6+A: 21774;     Frame: 243;
6+A: 21780;     Frame: 244;
6+A+P: 74817;   Frame: 245;
6+A: 21786;     Frame: 246;
6+A: 21774;     Frame: 247;
6+A: 21780;     Frame: 248;
6+A: 21771;     Frame: 249;
6+A: 21780;     Frame: 250;
6+A: 21771;     Frame: 251;
6+A+P: 74823;   Frame: 252;
6+A: 21777;     Frame: 253;
6+A: 21780;     Frame: 254;
6+A: 21768;     Frame: 255;
6+A: 21774;     Frame: 256;
6+A: 21771;     Frame: 257;
6+A: 21774;     Frame: 258;
6+A+P: 74886;   Frame: 259;
6+A: 21783;     Frame: 260;
6+A: 21765;     Frame: 261;
6+A: 21774;     Frame: 262;
6+A: 21768;     Frame: 263;
6+A: 21876;     Frame: 264;
6+A: 22374;     Frame: 265;
6+A+P: 82677;   Frame: 266;
6+A: 25287;     Frame: 267;
6+A: 24969;     Frame: 268;
6+A: 24912;     Frame: 269;
6+A: 24912;     Frame: 270;
6+A: 24915;     Frame: 271;
6+A: 24915;     Frame: 272;
6+A+P: 82386;   Frame: 273;
6+A: 24906;     Frame: 274;
