6+A+P: 24849;   Frame: 0;
6+A: 24456;     Frame: 1;
6+A: 20331;     Frame: 2;
6+A: 25203;     Frame: 3;
6+A: 23340;     Frame: 4;
6+A: 20463;     Frame: 5;
6+A: 20112;     Frame: 6;
6+A+P: 22491;   Frame: 7;
6+A: 25626;     Frame: 8;
6+A: 23196;     Frame: 9;
6+A: 23289;     Frame: 10;
6+A: 23166;     Frame: 11;
6+A: 23127;     Frame: 12;
6+A: 23199;     Frame: 13;
6+A+P: 22671;   Frame: 14;
6+A: 22779;     Frame: 15;
6+A: 22773;     Frame: 16;
6+A: 22764;     Frame: 17;
6+A: 22773;     Frame: 18;
6+A: 22788;     Frame: 19;
6+A: 22773;     Frame: 20;
6+A+P: 22776;   Frame: 21;
6+A: 22839;     Frame: 22;
6+A: 22791;     Frame: 23;
6+A: 22821;     Frame: 24;
6+A: 22851;     Frame: 25;
6+A: 23322;     Frame: 26;
6+A: 23160;     Frame: 27;
6+A+P: 23136;   Frame: 28;
6+A: 22944;     Frame: 29;
6+A: 22722;     Frame: 30;
6+A: 23115;     Frame: 31;
6+A: 22782;     Frame: 32;
6+A: 23517;     Frame: 33;
6+A: 23391;     Frame: 34;
6+A+P: 75924;   Frame: 35;
6+A: 23826;     Frame: 36;
6+A: 23823;     Frame: 37;
6+A: 23823;     Frame: 38;
6+A: 23880;     Frame: 39;
6+A: 23820;     Frame: 40;
6+A: 23823;     Frame: 41;
6+A+P: 75936;   Frame: 42;
6+A: 23826;     Frame: 43;
6+A: 23823;     Frame: 44;
6+A: 23826;     Frame: 45;
6+A: 23826;     Frame: 46;
6+A: 23880;     Frame: 47;
6+A: 23802;     Frame: 48;
6+A+P: 75981;   Frame: 49;
6+A: 23829;     Frame: 50;
6+A: 23823;     Frame: 51;
6+A: 23826;     Frame: 52;
6+A: 23823;     Frame: 53;
6+A: 23823;     Frame: 54;
6+A: 23883;     Frame: 55;
6+A+P: 75945;   Frame: 56;
6+A: 23835;     Frame: 57;
6+A: 23817;     Frame: 58;
6+A: 23820;     Frame: 59;
6+A: 23817;     Frame: 60;
6+A: 23826;     Frame: 61;
6+A: 23820;     Frame: 62;
6+A+P: 76002;   Frame: 63;
6+A: 23826;     Frame: 64;
6+A: 23874;     Frame: 65;
6+A: 23823;     Frame: 66;
6+A: 23823;     Frame: 67;
6+A: 23820;     Frame: 68;
6+A: 23802;     Frame: 69;
6+A+P: 75939;   Frame: 70;
6+A: 23886;     Frame: 71;
6+A: 23832;     Frame: 72;
6+A: 23823;     Frame: 73;
6+A: 23826;     Frame: 74;
6+A: 23823;     Frame: 75;
6+A: 23820;     Frame: 76;
6+A+P: 75942;   Frame: 77;
6+A: 23826;     Frame: 78;
6+A: 23883;     Frame: 79;
6+A: 23829;     Frame: 80;
6+A: 23868;     Frame: 81;
6+A: 23826;     Frame: 82;
6+A: 23823;     Frame: 83;
6+A+P: 75945;   Frame: 84;
6+A: 23826;     Frame: 85;
6+A: 23829;     Frame: 86;
6+A: 23883;     Frame: 87;
6+A: 23823;     Frame: 88;
6+A: 23826;     Frame: 89;
6+A: 23805;     Frame: 90;
6+A+P: 75939;   Frame: 91;
6+A: 23832;     Frame: 92;
6+A: 23823;     Frame: 93;
6+A: 23823;     Frame: 94;
6+A: 23880;     Frame: 95;
6+A: 23823;     Frame: 96;
6+A: 23862;     Frame: 97;
6+A+P: 75945;   Frame: 98;
6+A: 23826;     Frame: 99;
6+A: 23829;     Frame: 100;
6+A: 23817;     Frame: 101;
6+A: 23829;     Frame: 102;
6+A: 23877;     Frame: 103;
6+A: 23823;     Frame: 104;
6+A+P: 75939;   Frame: 105;
6+A: 23823;     Frame: 106;
6+A: 23817;     Frame: 107;
6+A: 23820;     Frame: 108;
6+A: 23823;     Frame: 109;
6+A: 23826;     Frame: 110;
6+A: 23859;     Frame: 111;
6+A+P: 75942;   Frame: 112;
6+A: 23871;     Frame: 113;
6+A: 23826;     Frame: 114;
6+A: 23820;     Frame: 115;
6+A: 23820;     Frame: 116;
6+A: 23820;     Frame: 117;
6+A: 23823;     Frame: 118;
6+A+P: 76005;   Frame: 119;
6+A: 23829;     Frame: 120;
6+A: 23823;     Frame: 121;
6+A: 23823;     Frame: 122;
6+A: 23823;     Frame: 123;
6+A: 23826;     Frame: 124;
6+A: 23829;     Frame: 125;
6+A+P: 75942;   Frame: 126;
6+A: 23883;     Frame: 127;
6+A: 23829;     Frame: 128;
6+A: 23865;     Frame: 129;
6+A: 23826;     Frame: 130;
6+A: 23820;     Frame: 131;
6+A: 23805;     Frame: 132;
6+A+P: 75936;   Frame: 133;
6+A: 23826;     Frame: 134;
6+A: 23883;     Frame: 135;
6+A: 23826;     Frame: 136;
6+A: 23826;     Frame: 137;
6+A: 23826;     Frame: 138;
6+A: 23826;     Frame: 139;
6+A+P: 75942;   Frame: 140;
6+A: 23826;     Frame: 141;
6+A: 23823;     Frame: 142;
6+A: 23880;     Frame: 143;
6+A: 23826;     Frame: 144;
6+A: 23868;     Frame: 145;
6+A: 23823;     Frame: 146;
6+A+P: 75945;   Frame: 147;
6+A: 23832;     Frame: 148;
6+A: 23820;     Frame: 149;
6+A: 23820;     Frame: 150;
6+A: 23880;     Frame: 151;
6+A: 23829;     Frame: 152;
6+A: 23802;     Frame: 153;
6+A+P: 75945;   Frame: 154;
6+A: 23826;     Frame: 155;
6+A: 23829;     Frame: 156;
6+A: 23820;     Frame: 157;
6+A: 23823;     Frame: 158;
6+A: 23886;     Frame: 159;
6+A: 23820;     Frame: 160;
6+A+P: 75981;   Frame: 161;
6+A: 23829;     Frame: 162;
6+A: 23823;     Frame: 163;
6+A: 23823;     Frame: 164;
6+A: 23820;     Frame: 165;
6+A: 23826;     Frame: 166;
6+A: 23883;     Frame: 167;
6+A+P: 75945;   Frame: 168;
6+A: 23823;     Frame: 169;
6+A: 23823;     Frame: 170;
6+A: 23817;     Frame: 171;
6+A: 23823;     Frame: 172;
6+A: 23817;     Frame: 173;
6+A: 23805;     Frame: 174;
6+A+P: 75990;   Frame: 175;
6+A: 23829;     Frame: 176;
6+A: 23868;     Frame: 177;
6+A: 23823;     Frame: 178;
6+A: 23826;     Frame: 179;
6+A: 23826;     Frame: 180;
6+A: 23820;     Frame: 181;
6+A+P: 75945;   Frame: 182;
6+A: 23883;     Frame: 183;
6+A: 23823;     Frame: 184;
6+A: 23820;     Frame: 185;
6+A: 23823;     Frame: 186;
6+A: 23823;     Frame: 187;
6+A: 23823;     Frame: 188;
6+A+P: 75942;   Frame: 189;
6+A: 23826;     Frame: 190;
6+A: 23880;     Frame: 191;
6+A: 23826;     Frame: 192;
6+A: 23865;     Frame: 193;
6+A: 23826;     Frame: 194;
6+A: 23811;     Frame: 195;
6+A+P: 75942;   Frame: 196;
6+A: 23823;     Frame: 197;
6+A: 23826;     Frame: 198;
6+A: 23877;     Frame: 199;
6+A: 23826;     Frame: 200;
6+A: 23820;     Frame: 201;
6+A: 23826;     Frame: 202;
